Feature,Importance
silica_roll_mean_3,0.46472618
% Iron Concentrate,0.25825527
silica_lag_1,0.043939397
silica_roll_mean_6,0.043023955
silica_lag_2,0.04058007
silica_lag_4,0.013972892
month,0.013385726
Flotation Column 06 Level,0.008873979
day,0.0072674025
silica_roll_mean_24,0.0068537537
% Silica Feed,0.006257474
Flotation Column 01 Level,0.0062435167
Ore Pulp Density,0.006208238
Flotation Column 04 Air Flow,0.0061922157
silica_lag_24,0.0050648754
Flotation Column 01 Air Flow,0.0050016483
Flotation Column 05 Air Flow,0.0047363006
Flotation Column 02 Air Flow,0.004580515
Flotation Column 05 Level,0.004578818
day_of_week,0.0044605397
Flotation Column 03 Level,0.0042939326
Ore Pulp Flow,0.004255232
Flotation Column 02 Level,0.004171337
Flotation Column 03 Air Flow,0.00398119
Flotation Column 04 Level,0.0037649018
Flotation Column 07 Level,0.0037027707
Flotation Column 07 Air Flow,0.0034291865
Ore Pulp pH,0.0034277213
Starch Flow,0.003420359
Flotation Column 06 Air Flow,0.0031853607
Amina Flow,0.00305513
hour,0.0028712433
% Iron Feed,0.002238828
